module,instrument,side,entry_time,exit_time,entry_price,exit_price,pnl_pips,stop_pips,pip_size,partial_fills,units,pnl_dollars,balance_before_entry,usd_notional,entry_year,balance_after_exit,exit_year,balance_before_exit
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2024-04-12 13:09:00+00:00,2024-04-12 13:15:00+00:00,190.084,190.38400000000001,-30.000000000001137,30.0,0.01,"[{""time"": ""2024-04-12T13:15:00+00:00"", ""price"": 190.38400000000001, ""fraction"": 1.0, ""pips"": -30.000000000001137}]",46949.34035024868,-92.27132214886872,3181.7697292712146,58456.15417669113,2024,3089.4984071223457,2024,3181.7697292712146
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-04-18 12:34:00+00:00,2024-04-18 15:34:00+00:00,1.24499,1.24619,-11.999999999998678,25.0,0.0001,"[{""time"": ""2024-04-18T15:34:00+00:00"", ""price"": 1.24619, ""fraction"": 1.0, ""pips"": -11.999999999998678}]",35838.181522619205,-43.00581782713831,3089.4984071223457,44618.177613845684,2024,3046.4925892952074,2024,3089.4984071223457
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2024-04-19 14:40:00+00:00,2024-04-19 16:50:00+00:00,192.298,191.49499999999998,48.03000000000026,30.0,0.01,"[{""time"": ""2024-04-19T15:11:00+00:00"", ""price"": 192.048, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-04-19T15:21:00+00:00"", ""price"": 191.798, ""fraction"": 0.3, ""pips"": 50}, {""time"": ""2024-04-19T16:11:00+00:00"", ""price"": 191.548, ""fraction"": 0.2, ""pips"": 75}, {""time"": ""2024-04-19T16:50:00+00:00"", ""price"": 191.49499999999998, ""fraction"": 0.09999999999999998, ""pips"": 80.30000000000257}]",45516.594736716375,141.44560442838792,3046.4925892952074,56627.87826086989,2024,3187.9381937235953,2024,3046.4925892952074
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-04-19 14:20:00+00:00,2024-04-19 17:00:00+00:00,1.24462,1.23936,40.78000000000013,25.0,0.0001,"[{""time"": ""2024-04-19T15:13:00+00:00"", ""price"": 1.2421200000000001, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-04-19T16:04:00+00:00"", ""price"": 1.2396200000000002, ""fraction"": 0.3, ""pips"": 50}, {""time"": ""2024-04-19T17:00:00+00:00"", ""price"": 1.23936, ""fraction"": 0.3, ""pips"": 52.60000000000042}]",35339.3140358244,144.11372263809236,3046.4925892952074,43984.01703526777,2024,3332.0519163616877,2024,3187.9381937235953
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-06-05 13:56:00+00:00,2024-06-05 14:00:00+00:00,155.809,156.109,-30.000000000001137,30.0,0.01,"[{""time"": ""2024-06-05T14:00:00+00:00"", ""price"": 156.109, ""fraction"": 1.0, ""pips"": -30.000000000001137}]",50164.724671468044,-96.62950557449258,3332.0519163616877,50164.724671468044,2024,3235.422410787195,2024,3332.0519163616877
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-06-05 14:55:00+00:00,2024-06-05 17:55:00+00:00,1.27593,1.27814,-22.100000000000453,25.0,0.0001,"[{""time"": ""2024-06-05T17:55:00+00:00"", ""price"": 1.27814, ""fraction"": 1.0, ""pips"": -22.100000000000453}]",37530.89996513146,-82.94328892294222,3235.422410787195,47886.80119251018,2024,3152.4791218642526,2024,3235.422410787195
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-06-13 13:46:00+00:00,2024-06-13 16:46:00+00:00,1.2778,1.27415,31.900000000000915,25.0,0.0001,"[{""time"": ""2024-06-13T15:18:00+00:00"", ""price"": 1.2753, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2024-06-13T16:46:00+00:00"", ""price"": 1.27415, ""fraction"": 0.6, ""pips"": 36.50000000000153}]",36568.75781362533,116.65433742546814,3152.4791218642526,46727.558734250444,2024,3269.1334592897206,2024,3152.4791218642526
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-07-03 14:12:00+00:00,2024-07-03 14:14:00+00:00,161.029,160.93,12.929999999999268,30.0,0.01,"[{""time"": ""2024-07-03T14:13:00+00:00"", ""price"": 160.829, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2024-07-03T14:14:00+00:00"", ""price"": 160.93, ""fraction"": 0.7, ""pips"": 9.899999999998954}]",50840.533781834056,40.860899107659904,3269.1334592897206,50840.533781834056,2024,3309.9943583973804,2024,3269.1334592897206
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2024-07-18 14:03:00+00:00,2024-07-18 17:03:00+00:00,1.29716,1.29708,0.8000000000008001,25.0,0.0001,"[{""time"": ""2024-07-18T17:03:00+00:00"", ""price"": 1.29708, ""fraction"": 1.0, ""pips"": 0.8000000000008001}]",38395.93455740961,3.0716747645958407,3309.9943583973804,49805.67047048945,2024,3313.066033161976,2024,3309.9943583973804
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2024-07-26 13:44:00+00:00,2024-07-26 14:03:00+00:00,153.75,154.05,-30.000000000001137,30.0,0.01,"[{""time"": ""2024-07-26T14:03:00+00:00"", ""price"": 154.05, ""fraction"": 1.0, ""pips"": -30.000000000001137}]",49248.290362591724,-96.07891496170093,3313.066033161976,49248.290362591724,2024,3216.9871182002753,2024,3313.066033161976
