week,start_nav,end_nav,pnl_dollars,trades,weekly_return_pct
2022-01-17/2022-01-23,1826.5709317712196,1817.3893685541818,-9.181563217037848,1,-0.502666666666729
2022-01-24/2022-01-30,1817.3893685541818,1817.3893685541818,0.0,0,0.0
2022-01-31/2022-02-06,1817.3893685541818,1855.231049986218,37.841681432036204,1,2.0822000000000562
2022-02-07/2022-02-13,1855.231049986218,1850.0302189427573,-5.2008310434607115,1,-0.2803333333333047
2022-02-14/2022-02-20,1850.0302189427573,1850.0302189427573,0.0,0,0.0
2022-02-21/2022-02-27,1850.0302189427573,1819.8068919326297,-30.223327010127633,1,-1.6336666666666333
2022-02-28/2022-03-06,1819.8068919326297,1816.1126839420062,-3.694207990623378,1,-0.20300000000000873
2022-03-07/2022-03-13,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-03-14/2022-03-20,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-03-21/2022-03-27,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-03-28/2022-04-03,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-04-04/2022-04-10,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-04-11/2022-04-17,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-04-18/2022-04-24,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-04-25/2022-05-01,1816.1126839420062,1816.1126839420062,0.0,0,0.0
2022-05-02/2022-05-08,1816.1126839420062,1846.0979150956775,29.98523115367129,1,1.651066666666634
2022-05-09/2022-05-15,1846.0979150956775,1846.0979150956775,0.0,0,0.0
2022-05-16/2022-05-22,1846.0979150956775,1885.1619623450742,39.06404724939672,1,2.116033333333367
2022-05-23/2022-05-29,1885.1619623450742,1885.1619623450742,0.0,0,0.0
2022-05-30/2022-06-05,1885.1619623450742,1965.0234555882914,79.86149324321727,1,4.236320000000027
2022-06-06/2022-06-12,1965.0234555882914,1965.0234555882914,0.0,0,0.0
2022-06-13/2022-06-19,1965.0234555882914,1908.0377753762289,-56.98568021206262,1,-2.9000000000001025
2022-06-20/2022-06-26,1908.0377753762289,1925.8181433923671,17.780368016138315,1,0.9318666666666031
2022-06-27/2022-07-03,1925.8181433923671,1925.8181433923671,0.0,0,0.0
2022-07-04/2022-07-10,1925.8181433923671,1925.8181433923671,0.0,0,0.0
2022-07-11/2022-07-17,1925.8181433923671,1925.8181433923671,0.0,0,0.0
2022-07-18/2022-07-24,1925.8181433923671,1925.8181433923671,0.0,0,0.0
2022-07-25/2022-07-31,1925.8181433923671,1990.3048058632394,64.48666247087219,1,3.3485333333332257
2022-08-01/2022-08-07,1990.3048058632394,1990.3048058632394,0.0,0,0.0
2022-08-08/2022-08-14,1990.3048058632394,1990.3048058632394,0.0,0,0.0
2022-08-15/2022-08-21,1990.3048058632394,1932.5859664932032,-57.71883937003613,1,-2.9000000000001136
2022-08-22/2022-08-28,1932.5859664932032,1972.5647281867257,39.978761693522586,1,2.068666666666652
2022-08-29/2022-09-04,1972.5647281867257,1972.5647281867257,0.0,0,0.0
2022-09-05/2022-09-11,1972.5647281867257,1972.5647281867257,0.0,0,0.0
2022-09-12/2022-09-18,1972.5647281867257,1972.5647281867257,0.0,0,0.0
2022-09-19/2022-09-25,1972.5647281867257,1972.5647281867257,0.0,0,0.0
2022-09-26/2022-10-02,1972.5647281867257,1972.5647281867257,0.0,0,0.0
2022-10-03/2022-10-09,1972.5647281867257,2054.485802227112,81.92107404038606,2,4.153023364444519
2022-10-10/2022-10-16,2054.485802227112,2054.485802227112,0.0,0,0.0
2022-10-17/2022-10-23,2054.485802227112,2054.485802227112,0.0,0,0.0
2022-10-24/2022-10-30,2054.485802227112,2054.485802227112,0.0,0,0.0
2022-10-31/2022-11-06,2054.485802227112,2054.485802227112,0.0,0,0.0
2022-11-07/2022-11-13,2054.485802227112,2129.2742308354104,74.78842860829863,3,3.640250447446558
2022-11-14/2022-11-20,2129.2742308354104,2129.2742308354104,0.0,0,0.0
2022-11-21/2022-11-27,2129.2742308354104,2129.2742308354104,0.0,0,0.0
2022-11-28/2022-12-04,2129.2742308354104,2129.2742308354104,0.0,0,0.0
2022-12-05/2022-12-11,2129.2742308354104,2129.2742308354104,0.0,0,0.0
